feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
min_pairwise_dist,J_universal,"(0.079, 0.1]",0.079,0.1,0.0895,1391,0.15589767721220144,0.048467874561618544,0.0012995422698343128
min_pairwise_dist,J_universal,"(0.1, 0.12]",0.1,0.12,0.11,1174,0.15316274250745693,0.047154974261395734,0.0013762377416817856
min_pairwise_dist,J_universal,"(0.12, 0.14]",0.12,0.14,0.13,939,0.14884558329650643,0.06875891641993523,0.002243862434121722
min_pairwise_dist,J_universal,"(0.14, 0.16]",0.14,0.16,0.15000000000000002,642,0.14655736660855553,0.07151866779893641,0.0028226166699766822
min_pairwise_dist,J_universal,"(0.16, 0.18]",0.16,0.18,0.16999999999999998,432,0.14208595508104732,0.035529580230832004,0.0017094177258721052
min_pairwise_dist,J_universal,"(0.18, 0.2]",0.18,0.2,0.19,221,0.14306172686848084,0.03333510601563586,0.0022423618901701056
min_pairwise_dist,J_universal,"(0.2, 0.22]",0.2,0.22,0.21000000000000002,111,0.15132801325194664,0.07998263027482337,0.00759161530466645
min_pairwise_dist,J_universal,"(0.22, 0.24]",0.22,0.24,0.22999999999999998,54,0.14084720094366748,0.028827607439221633,0.003922940485075191
min_pairwise_dist,J_universal,"(0.24, 0.26]",0.24,0.26,0.25,30,0.13532313921729672,0.017944229438981274,0.0032761530802594384
