feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
fraction_near_boundary_0p1L,J_universal,"(-0.001, 0.02]",-0.001,0.02,0.0095,214,0.13402253318225482,0.03166905436569175,0.002164851988656585
fraction_near_boundary_0p1L,J_universal,"(0.12, 0.14]",0.12,0.14,0.13,851,0.13891595953031638,0.03507494192241775,0.0012023535238486942
fraction_near_boundary_0p1L,J_universal,"(0.24, 0.26]",0.24,0.26,0.25,1513,0.14456029810638926,0.0374880608794718,0.0009637702418025403
fraction_near_boundary_0p1L,J_universal,"(0.36, 0.38]",0.36,0.38,0.37,1391,0.1533542373389086,0.042384788304855404,0.00113643984800928
fraction_near_boundary_0p1L,J_universal,"(0.48, 0.5]",0.48,0.5,0.49,765,0.1641271868672533,0.07581785073690253,0.0027412001785304674
fraction_near_boundary_0p1L,J_universal,"(0.62, 0.64]",0.62,0.64,0.63,223,0.17358277910108913,0.09111398930825623,0.006101444013332028
fraction_near_boundary_0p1L,J_universal,"(0.74, 0.76]",0.74,0.76,0.75,38,0.23738283157600967,0.2534085813932485,0.041108300200343284
fraction_near_boundary_0p1L,J_universal,"(0.86, 0.88]",0.86,0.88,0.87,5,0.17054714077746883,0.025888250324973265,0.011577577509034247
