feature,top_mean,rest_mean,mean_diff_top_minus_rest,cohen_d
convex_hull_area,0.24650611882603718,0.311054958656863,-0.06454883983082582,-0.9272221971217626
anisotropy,4.357244654126905,2.641456468040795,1.7157881860861104,0.7287933709924858
mean_radius,0.2904659917549701,0.3150835973565944,-0.024617605601624293,-0.7134452621737511
mean_pairwise_dist,0.4405276952663801,0.47144757713717456,-0.030919881870794474,-0.6345157345236064
mean_dist_to_boundary,0.22507580354012147,0.20601795190809225,0.01905785163202922,0.5818385841063629
min_dist_to_boundary,0.07343297520619038,0.054538959382413064,0.018894015823777317,0.5563534422056386
nearest_neighbor_mean,0.19611258671477716,0.21326137443205245,-0.017148787717275293,-0.5474477449321544
max_angular_gap,1.7642640429800907,1.6129087155252226,0.15135532745486802,0.5074803322274574
convex_hull_perimeter,2.162984110624802,2.283573088173114,-0.12058897754831222,-0.49221744351359376
fraction_near_boundary_0p1L,0.175,0.25,-0.07500000000000001,-0.4885427649133403
std_radius,0.13134417536892726,0.12123826059700818,0.010105914771919078,0.4321890711525512
angular_gap_std,0.5281758542475642,0.4880785754021518,0.040097278845412365,0.31835511730439625
nearest_neighbor_std,0.07149515325200538,0.07884763596782299,-0.007352482715817607,-0.2775536604179979
fraction_near_boundary_0p15L,0.35,0.390625,-0.04062500000000002,-0.2617950874122229
min_pairwise_dist,0.12373650016450248,0.1263343184995744,-0.0025978183350719303,-0.0749484540694506
