feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
fraction_near_boundary_0p1L,J_universal,"(-0.001, 0.02]",-0.001,0.02,0.0095,214,0.13402253318225482,0.03166905436569175,0.002164851988656585
fraction_near_boundary_0p1L,J_universal,"(0.12, 0.14]",0.12,0.14,0.13,849,0.13831397308798124,0.03284367471092364,0.0011271919980080322
fraction_near_boundary_0p1L,J_universal,"(0.24, 0.26]",0.24,0.26,0.25,1512,0.14432422033750006,0.03635801685791435,0.0009350272998590659
fraction_near_boundary_0p1L,J_universal,"(0.36, 0.38]",0.36,0.38,0.37,1389,0.15293371735064876,0.04093870431840778,0.0010984567718085457
fraction_near_boundary_0p1L,J_universal,"(0.48, 0.5]",0.48,0.5,0.49,752,0.15825035226669587,0.042308845884495974,0.0015428448613069342
fraction_near_boundary_0p1L,J_universal,"(0.62, 0.64]",0.62,0.64,0.63,218,0.16294055748953537,0.04402280548712184,0.00298160061299278
fraction_near_boundary_0p1L,J_universal,"(0.74, 0.76]",0.74,0.76,0.75,36,0.19072484494140263,0.06079743420159678,0.01013290570026613
fraction_near_boundary_0p1L,J_universal,"(0.86, 0.88]",0.86,0.88,0.87,5,0.17054714077746883,0.025888250324973265,0.011577577509034247
