feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
std_radius,flat_J_t,"(0.04, 0.06]",0.04,0.06,0.05,30,0.11007595331705054,0.04044979792601304,0.007385088923534342
std_radius,flat_J_t,"(0.06, 0.08]",0.06,0.08,0.07,200,0.10477937151984328,0.041789978077557605,0.0029549976884278143
std_radius,flat_J_t,"(0.08, 0.1]",0.08,0.1,0.09,648,0.10231241402693927,0.04999294047042241,0.0019639081787828374
std_radius,flat_J_t,"(0.1, 0.12]",0.1,0.12,0.11,1135,0.09674918348782344,0.047863863213810795,0.0014207243302933783
std_radius,flat_J_t,"(0.12, 0.14]",0.12,0.14,0.13,1293,0.09326474056004189,0.04759961015227784,0.0013237443923503757
std_radius,flat_J_t,"(0.14, 0.16]",0.14,0.16,0.15000000000000002,984,0.09251615861750584,0.05062788643606094,0.0016139580711623852
std_radius,flat_J_t,"(0.16, 0.18]",0.16,0.18,0.16999999999999998,523,0.09676591460660092,0.05489445954480652,0.0024003671200716822
std_radius,flat_J_t,"(0.18, 0.2]",0.18,0.2,0.19,139,0.10434531410171224,0.052787318005679665,0.00447736187599137
std_radius,flat_J_t,"(0.2, 0.22]",0.2,0.22,0.21000000000000002,20,0.11405083078957187,0.06794755161592883,0.015193534431789254
