feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
std_radius,rough_J_t,"(0.04, 0.06]",0.04,0.06,0.05,30,0.14763828328231904,0.02446867425439912,0.0044673482804601
std_radius,rough_J_t,"(0.06, 0.08]",0.06,0.08,0.07,200,0.14988203609819545,0.03244918892085353,0.0022945041529938916
std_radius,rough_J_t,"(0.08, 0.1]",0.08,0.1,0.09,648,0.15246146051798298,0.04416277473288074,0.001734877638312994
std_radius,rough_J_t,"(0.1, 0.12]",0.1,0.12,0.11,1135,0.14744971416314387,0.04083053205255324,0.0012119567124524945
std_radius,rough_J_t,"(0.12, 0.14]",0.12,0.14,0.13,1293,0.1473903071577844,0.04402880973446515,0.0012244404901931912
std_radius,rough_J_t,"(0.14, 0.16]",0.14,0.16,0.15000000000000002,984,0.14684748321987567,0.04457770851388917,0.0014210854435090523
std_radius,rough_J_t,"(0.16, 0.18]",0.16,0.18,0.16999999999999998,523,0.14951928931175593,0.04990973062543629,0.002182400143080855
std_radius,rough_J_t,"(0.18, 0.2]",0.18,0.2,0.19,139,0.15079072430911744,0.04709660905738346,0.0039946822427938105
std_radius,rough_J_t,"(0.2, 0.22]",0.2,0.22,0.21000000000000002,20,0.14881871225759186,0.029913184796915692,0.006688791462941672
