feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
fraction_near_boundary_0p1L,flat_J_t,"(-0.001, 0.02]",-0.001,0.02,0.0095,7,0.07881407863493142,0.01649065887979733,0.006232883193077531
fraction_near_boundary_0p1L,flat_J_t,"(0.12, 0.14]",0.12,0.14,0.13,12,0.07904554627992914,0.018944909719975023,0.005468924363300369
fraction_near_boundary_0p1L,flat_J_t,"(0.24, 0.26]",0.24,0.26,0.25,18,0.08406101984412451,0.02097173601527633,0.00494308558321868
fraction_near_boundary_0p1L,flat_J_t,"(0.36, 0.38]",0.36,0.38,0.37,7,0.07690871858169147,0.01064759818777009,0.004024413837854525
fraction_near_boundary_0p1L,flat_J_t,"(0.48, 0.5]",0.48,0.5,0.49,5,0.09308705543499793,0.019544159647068647,0.008740413906790758
