feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
fraction_near_boundary_0p1L,hill_J_t,"(-0.001, 0.02]",-0.001,0.02,0.0095,214,0.1575061963973626,0.03484828231871785,0.0023821795374057925
fraction_near_boundary_0p1L,hill_J_t,"(0.12, 0.14]",0.12,0.14,0.13,849,0.1618769936791119,0.03699319863978789,0.0012696032905727761
fraction_near_boundary_0p1L,hill_J_t,"(0.24, 0.26]",0.24,0.26,0.25,1512,0.1678393131062903,0.038277499716255305,0.000984391072398536
fraction_near_boundary_0p1L,hill_J_t,"(0.36, 0.38]",0.36,0.38,0.37,1389,0.17490964847411666,0.04320871167227601,0.0011593650245592458
fraction_near_boundary_0p1L,hill_J_t,"(0.48, 0.5]",0.48,0.5,0.49,752,0.1780346420346917,0.04475839812569805,0.0016321708405160813
fraction_near_boundary_0p1L,hill_J_t,"(0.62, 0.64]",0.62,0.64,0.63,218,0.17937931686431272,0.04423691427991362,0.0029961018902460407
fraction_near_boundary_0p1L,hill_J_t,"(0.74, 0.76]",0.74,0.76,0.75,36,0.20091470953915758,0.06561355502906309,0.010935592504843848
fraction_near_boundary_0p1L,hill_J_t,"(0.86, 0.88]",0.86,0.88,0.87,5,0.1670867301619475,0.01481072007312367,0.006623555375845036
