rank,J_universal,min_pairwise_dist,fraction_near_boundary_0p1L,std_radius,anisotropy,mean_radius,angular_gap_std,max_angular_gap
1,0.0817036621397367,0.1370266953726449,0.25,0.14293131303233333,16.719368878017292,0.29367586470389345,0.6641591240187127,1.8913220970037194
2,0.0834897831831185,0.155377687016155,0.25,0.1132624808179639,2.292248848355006,0.31890910352176577,0.40594392687815134,1.2642736272268054
3,0.0835580420803253,0.10113990095656342,0.25,0.09151166117110675,2.4909429804351606,0.3328272645681369,0.538957888591879,1.9128340579360152
4,0.0839925446611164,0.16251444313919097,0.5,0.10275826340328569,1.7025291566472223,0.3520768372094806,0.2911127027624142,1.18826114332136
5,0.0840246928788716,0.18448026873008208,0.25,0.1537674307617152,1.5761535174407983,0.3394700214501336,0.4944023618924936,1.625285023002168
6,0.0842873220887118,0.12124450611621096,0.0,0.09090125008184703,4.181915948294737,0.27968332095857285,0.6453568803018672,1.9478210939561347
7,0.0844904353398321,0.09999329088622125,0.375,0.13242750759859132,2.3766743666084285,0.3189891497926813,0.5919837722360464,1.9342437892728528
8,0.0851310931739203,0.1331194319793115,0.5,0.10649229518622383,1.287676891246173,0.367425104539303,0.4557460973807448,1.5176091925278161
9,0.0860838304883541,0.13001274250308642,0.375,0.13082590520704146,3.2602437850078676,0.3526404358607179,0.7292570149959717,2.35347258824605
10,0.0872656784189633,0.14645912411627118,0.5,0.10669792439989166,2.273324518778479,0.33703413655955666,0.3852002212929872,1.285469622163669
