feature,top_mean,rest_mean,mean_diff_top_minus_rest,cohen_d
mean_dist_to_boundary,0.22580686974205624,0.2058351853576085,0.01997168438444774,0.6114342569807262
fraction_near_boundary_0p1L,0.1625,0.253125,-0.09062499999999998,-0.5957995777333976
min_pairwise_dist,0.1405064674180128,0.12214182668619684,0.018364640731815943,0.5424105122096323
mean_radius,0.29561626818634446,0.31379602824875086,-0.018179760062406403,-0.5169938317804397
min_dist_to_boundary,0.07012342170876426,0.05536634775676961,0.014757073951994652,0.4302308982377292
mean_pairwise_dist,0.4483353303385253,0.4694956683691383,-0.021160338030613013,-0.42669297179275717
nearest_neighbor_std,0.06927418605612282,0.07940287776679363,-0.010128691710670809,-0.384577422092325
fraction_near_boundary_0p15L,0.3375,0.39375,-0.05624999999999997,-0.364399348580512
anisotropy,2.511039006494899,3.103007879948796,-0.5919688734538968,-0.24217708405648133
convex_hull_area,0.2856567705947203,0.30126729571469224,-0.015610525119971963,-0.21049038416052193
max_angular_gap,1.6009232050001247,1.6537439250202142,-0.05282072002008942,-0.17385649884392865
nearest_neighbor_mean,0.21374498093986313,0.20885327587578092,0.004891705064082208,0.1526959210197286
convex_hull_perimeter,2.2319457318925853,2.2663326828561683,-0.03438695096358302,-0.13782675732996374
std_radius,0.12581902323680363,0.12261954863003907,0.003199474606764563,0.13495157563542415
angular_gap_std,0.48363915587737905,0.49921274999469806,-0.015573594117319012,-0.12277028167598578
