feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
fraction_near_boundary_0p1L,rough_J_t,"(-0.001, 0.02]",-0.001,0.02,0.0095,7,0.12537067847161548,0.013898083522827159,0.005252981814543591
fraction_near_boundary_0p1L,rough_J_t,"(0.12, 0.14]",0.12,0.14,0.13,12,0.12504220043679212,0.009947146575020998,0.002871493876378519
fraction_near_boundary_0p1L,rough_J_t,"(0.24, 0.26]",0.24,0.26,0.25,18,0.1273933758367843,0.011551741434985547,0.0027227715677306335
fraction_near_boundary_0p1L,rough_J_t,"(0.36, 0.38]",0.36,0.38,0.37,7,0.12661291018670445,0.013682161959418347,0.005171371134618451
fraction_near_boundary_0p1L,rough_J_t,"(0.48, 0.5]",0.48,0.5,0.49,5,0.14233809387619933,0.01617320928192836,0.007232879073744474
