feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
fraction_near_boundary_0p1L,rough_J_t,"(-0.001, 0.02]",-0.001,0.02,0.0095,214,0.13793200420631724,0.03599597508922466,0.0024606342000524327
fraction_near_boundary_0p1L,rough_J_t,"(0.12, 0.14]",0.12,0.14,0.13,849,0.13960185148075607,0.036101288588361875,0.0012389930168516094
fraction_near_boundary_0p1L,rough_J_t,"(0.24, 0.26]",0.24,0.26,0.25,1512,0.14422353506825752,0.04071417962387117,0.0010470557178202775
fraction_near_boundary_0p1L,rough_J_t,"(0.36, 0.38]",0.36,0.38,0.37,1389,0.15243003822729753,0.04736861592703469,0.0012709825042717198
fraction_near_boundary_0p1L,rough_J_t,"(0.48, 0.5]",0.48,0.5,0.49,752,0.15689547377007865,0.04709169356955121,0.0017172573705360108
fraction_near_boundary_0p1L,rough_J_t,"(0.62, 0.64]",0.62,0.64,0.63,218,0.16262741454058366,0.0482510477028749,0.0032679733110267395
fraction_near_boundary_0p1L,rough_J_t,"(0.74, 0.76]",0.74,0.76,0.75,36,0.16784991576888533,0.03888174653059374,0.006480291088432289
fraction_near_boundary_0p1L,rough_J_t,"(0.86, 0.88]",0.86,0.88,0.87,5,0.17420661709228397,0.02106025979924715,0.00941843450698454
