feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
min_pairwise_dist,flat_J_t,"(0.079, 0.1]",0.079,0.1,0.0895,15,0.0955395410291734,0.021527992521929464,0.005558503767647375
min_pairwise_dist,flat_J_t,"(0.1, 0.12]",0.1,0.12,0.11,12,0.07821227971280997,0.018774923285972068,0.005419853506585273
min_pairwise_dist,flat_J_t,"(0.12, 0.14]",0.12,0.14,0.13,6,0.07371156631353022,0.007534506758659526,0.003075949503711173
min_pairwise_dist,flat_J_t,"(0.14, 0.16]",0.14,0.16,0.15000000000000002,6,0.08304859808141223,0.01055529930332323,0.004309182895916113
min_pairwise_dist,flat_J_t,"(0.16, 0.18]",0.16,0.18,0.16999999999999998,7,0.0756692908459634,0.00869747476145067,0.0032873364647227564
