feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
min_pairwise_dist,hill_J_t,"(0.079, 0.1]",0.079,0.1,0.0895,15,0.15281440569081509,0.01432523890727176,0.003698760781220404
min_pairwise_dist,hill_J_t,"(0.1, 0.12]",0.1,0.12,0.11,12,0.14119494104853916,0.01346465585268826,0.0038869113405476186
min_pairwise_dist,hill_J_t,"(0.12, 0.14]",0.12,0.14,0.13,6,0.13796552433503115,0.013876699798357728,0.005665138969959776
min_pairwise_dist,hill_J_t,"(0.14, 0.16]",0.14,0.16,0.15000000000000002,6,0.14699918899264178,0.006409595757092148,0.0026167065103972994
min_pairwise_dist,hill_J_t,"(0.16, 0.18]",0.16,0.18,0.16999999999999998,7,0.1474047733294151,0.010981215221936833,0.004150509224360259
