feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
min_pairwise_dist,J_universal,"(0.079, 0.1]",0.079,0.1,0.0895,1385,0.1548334913966722,0.045766120154256636,0.0012297567350569567
min_pairwise_dist,J_universal,"(0.1, 0.12]",0.1,0.12,0.11,1164,0.15079570791630317,0.03968288529407505,0.0011631259668799909
min_pairwise_dist,J_universal,"(0.12, 0.14]",0.12,0.14,0.13,935,0.14570805509942072,0.03648075014538194,0.001193048103243191
min_pairwise_dist,J_universal,"(0.14, 0.16]",0.14,0.16,0.15000000000000002,639,0.14335320775813254,0.03441862064469731,0.001361579589381969
min_pairwise_dist,J_universal,"(0.16, 0.18]",0.16,0.18,0.16999999999999998,431,0.1414441302892232,0.032968397611914,0.0015880318343642209
min_pairwise_dist,J_universal,"(0.18, 0.2]",0.18,0.2,0.19,221,0.14306172686848084,0.03333510601563586,0.0022423618901701056
min_pairwise_dist,J_universal,"(0.2, 0.22]",0.2,0.22,0.21000000000000002,110,0.1441065304693898,0.024782559387561555,0.00236292432417971
min_pairwise_dist,J_universal,"(0.22, 0.24]",0.22,0.24,0.22999999999999998,54,0.14084720094366748,0.028827607439221633,0.003922940485075191
min_pairwise_dist,J_universal,"(0.24, 0.26]",0.24,0.26,0.25,30,0.13532313921729672,0.017944229438981274,0.0032761530802594384
