feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
std_radius,mean_J,"(0.08, 0.1]",0.08,0.1,0.09,7,0.12568800600159444,0.014391022740820365,0.005439295326297974
std_radius,mean_J,"(0.1, 0.12]",0.1,0.12,0.11,16,0.12825385549511692,0.01431701601273427,0.0035792540031835676
std_radius,mean_J,"(0.12, 0.14]",0.12,0.14,0.13,13,0.11993594771479957,0.010591904315813963,0.002937665701190428
std_radius,mean_J,"(0.14, 0.16]",0.14,0.16,0.15000000000000002,10,0.12566348886936912,0.01153712163458864,0.003648358200770495
