feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
min_pairwise_dist,flat_J_t,"(0.079, 0.1]",0.079,0.1,0.0895,1385,0.1045406347421474,0.05790111057321024,0.0015558295187506792
min_pairwise_dist,flat_J_t,"(0.1, 0.12]",0.1,0.12,0.11,1164,0.10021629707852776,0.05016801326042454,0.0014704505102780883
min_pairwise_dist,flat_J_t,"(0.12, 0.14]",0.12,0.14,0.13,935,0.09385917735772516,0.04749651823201717,0.001553302241909545
min_pairwise_dist,flat_J_t,"(0.14, 0.16]",0.14,0.16,0.15000000000000002,639,0.09007081911428974,0.042763960018665975,0.0016917161127296017
min_pairwise_dist,flat_J_t,"(0.16, 0.18]",0.16,0.18,0.16999999999999998,431,0.08519252008123364,0.037258231421437,0.001794665858069171
min_pairwise_dist,flat_J_t,"(0.18, 0.2]",0.18,0.2,0.19,221,0.08550280647109897,0.03580461065646711,0.0024084787488235873
min_pairwise_dist,flat_J_t,"(0.2, 0.22]",0.2,0.22,0.21000000000000002,110,0.08978479353904859,0.03338771492236758,0.003183393711887429
min_pairwise_dist,flat_J_t,"(0.22, 0.24]",0.22,0.24,0.22999999999999998,54,0.08167568657348394,0.030984814518053374,0.004216499185778391
min_pairwise_dist,flat_J_t,"(0.24, 0.26]",0.24,0.26,0.25,30,0.08065045483884471,0.024561214383460556,0.004484243719180563
