feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
std_radius,hill_J_t,"(0.04, 0.06]",0.04,0.06,0.05,30,0.17545026278669426,0.024940467034644018,0.004553485463196169
std_radius,hill_J_t,"(0.06, 0.08]",0.06,0.08,0.07,200,0.17828540075368815,0.036121788145197994,0.002554196134605334
std_radius,hill_J_t,"(0.08, 0.1]",0.08,0.1,0.09,648,0.17634076658120568,0.04327456568773271,0.001699985491705472
std_radius,hill_J_t,"(0.1, 0.12]",0.1,0.12,0.11,1135,0.1705887346643965,0.041068268976297534,0.0012190133645715228
std_radius,hill_J_t,"(0.12, 0.14]",0.12,0.14,0.13,1293,0.1683855753980944,0.0405796606080949,0.0011285197084933787
std_radius,hill_J_t,"(0.14, 0.16]",0.14,0.16,0.15000000000000002,984,0.16751410954838356,0.041755628029310946,0.0013311208035411734
std_radius,hill_J_t,"(0.16, 0.18]",0.16,0.18,0.16999999999999998,523,0.1724085953627711,0.04461961707423549,0.001951079628496257
std_radius,hill_J_t,"(0.18, 0.2]",0.18,0.2,0.19,139,0.16888727538005932,0.035432558468895974,0.003005350384355587
std_radius,hill_J_t,"(0.2, 0.22]",0.2,0.22,0.21000000000000002,20,0.1680812874764317,0.03623422746368832,0.008102219572099686
