feature,target,bin,bin_left,bin_right,bin_center,count,mean,std,se
std_radius,J_universal,"(0.04, 0.06]",0.04,0.06,0.05,30,0.15370508393933804,0.022526980443214488,0.0041128451137420995
std_radius,J_universal,"(0.06, 0.08]",0.06,0.08,0.07,200,0.15409603384064707,0.03182423611423272,0.0022503133162455778
std_radius,J_universal,"(0.08, 0.1]",0.08,0.1,0.09,648,0.15365172684133938,0.040528535432832774,0.00159211123533974
std_radius,J_universal,"(0.1, 0.12]",0.1,0.12,0.11,1135,0.14820158022771765,0.03805691503338661,0.001129628523345753
std_radius,J_universal,"(0.12, 0.14]",0.12,0.14,0.13,1293,0.14635848899717366,0.03896695536913601,0.001083670401749976
std_radius,J_universal,"(0.14, 0.16]",0.14,0.16,0.15000000000000002,984,0.1458552750073751,0.039788872287607066,0.0012684229204814731
std_radius,J_universal,"(0.16, 0.18]",0.16,0.18,0.16999999999999998,523,0.1499734060318038,0.04421265940272391,0.0019332846119853467
std_radius,J_universal,"(0.18, 0.2]",0.18,0.2,0.19,139,0.15123302233799982,0.036709886882990636,0.003113691966395663
std_radius,J_universal,"(0.2, 0.22]",0.2,0.22,0.21000000000000002,20,0.152278404086863,0.04043825689959085,0.009042269131908504
