rank,sample_id,valid,failure_reason,J_universal,display_score,min_pairwise_sep,hull_area,flat_J_t,flat_mean_err,flat_p95_err,flat_valid_rate,flat_dgeom,hill_J_t,hill_mean_err,hill_p95_err,hill_valid_rate,hill_dgeom,rough_J_t,rough_mean_err,rough_p95_err,rough_valid_rate,rough_dgeom,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,layout_json
1,1750,True,,0.08170366213973673,0.9244676106780324,0.1370266953726449,0.14364354995618994,0.011945690700063754,0.0035542407273636994,0.00948760790916694,0.95,0.0,0.12644895897552186,0.008052068082382262,0.01801224072653944,0.95,1.09921856120488,0.061971039907839434,0.007007758115765688,0.01370327367472897,0.95,0.4720656665332617,0.7809077083672599,0.7228830734678912,0.6838579579726572,0.40365324425883525,0.4565477969630048,0.06237309764387078,0.672717845056195,0.6387922373352856,0.6360427019270756,0.12491717296047444,0.4175281465957448,0.19641763325468506,0.5501491609244239,0.5757865441441404,0.8088618237286634,0.9648745375198412,"[[0.7809077083672599, 0.7228830734678912], [0.6838579579726572, 0.40365324425883525], [0.4565477969630048, 0.06237309764387078], [0.672717845056195, 0.6387922373352856], [0.6360427019270756, 0.12491717296047444], [0.4175281465957448, 0.19641763325468506], [0.5501491609244239, 0.5757865441441404], [0.8088618237286634, 0.9648745375198412]]"
2,2105,True,,0.0834897831831185,0.922943635944735,0.155377687016155,0.30458657800634237,0.02522187008567521,0.002711384137234543,0.005005824079732209,0.85,0.0,0.11127727503122563,0.002590303212654121,0.005071665568389037,0.85,0.8609013891501456,0.08618271258434751,0.002724902759367648,0.005328519292866914,0.85,0.6085795055477199,0.272229667986514,0.15372735152664496,0.9796847721640042,0.45050873952904513,0.7497251102856226,0.9758551596596663,0.8166587883507223,0.7744275168831884,0.37867300273177906,0.6850544532123043,0.7449357966856764,0.34769050498984955,0.5622583775764535,0.3474575725611519,0.6637592506624349,0.7467877448653476,"[[0.272229667986514, 0.15372735152664496], [0.9796847721640042, 0.45050873952904513], [0.7497251102856226, 0.9758551596596663], [0.8166587883507223, 0.7744275168831884], [0.37867300273177906, 0.6850544532123043], [0.7449357966856764, 0.34769050498984955], [0.5622583775764535, 0.3474575725611519], [0.6637592506624349, 0.7467877448653476]]"
3,1885,True,,0.08355804208032533,0.9228854949755142,0.10113990095656342,0.28031356151507414,0.04767104365836472,0.01769981122160613,0.08235376202880654,0.9,0.0,0.09241510154113919,0.0038326456844098187,0.010205768101159526,0.85,0.6512868055280691,0.09707301156089869,0.003080515201948709,0.008459703578018668,0.85,0.7064886864661617,0.6094884324782669,0.8334432325126456,0.6780281442603794,0.2697742334130211,0.46300775042764397,0.36684797703016153,0.8400734194261396,0.9155456350045637,0.8549546824715568,0.8155065047820524,0.39854171009284683,0.24093346864345164,0.9479620015095752,0.13808441497730736,0.49211844795134235,0.6198650443589258,"[[0.6094884324782669, 0.8334432325126456], [0.6780281442603794, 0.2697742334130211], [0.46300775042764397, 0.36684797703016153], [0.8400734194261396, 0.9155456350045637], [0.8549546824715568, 0.8155065047820524], [0.39854171009284683, 0.24093346864345164], [0.9479620015095752, 0.13808441497730736], [0.49211844795134235, 0.6198650443589258]]"
4,550,True,,0.08399254466111641,0.9225155698027658,0.16251444313919097,0.3840216221408712,0.03318626977011379,0.0029173239955657833,0.006244913240363982,0.8,0.0,0.10526347895907137,0.003056583303932779,0.007277678720627334,0.75,0.6420471285611342,0.09225695095620916,0.003010063396852265,0.006737162859279267,0.75,0.5138127356984186,0.28836856762798835,0.6976228896766088,0.6372195441394609,0.8927273252890774,0.7987107538352851,0.910935384488802,0.3373413411190676,0.30235327518305655,0.9171778579034184,0.5636348442644333,0.4866592926577101,0.5392456426071444,0.5026011832875548,0.03400990923093708,0.9181901272816776,0.32465211412288864,"[[0.28836856762798835, 0.6976228896766088], [0.6372195441394609, 0.8927273252890774], [0.7987107538352851, 0.910935384488802], [0.3373413411190676, 0.30235327518305655], [0.9171778579034184, 0.5636348442644333], [0.4866592926577101, 0.5392456426071444], [0.5026011832875548, 0.03400990923093708], [0.9181901272816776, 0.32465211412288864]]"
5,1081,True,,0.0840246928788716,0.922488211356399,0.18448026873008208,0.4498991066783367,0.01911303873007223,0.0029978840825214325,0.00921330297645863,0.9,0.0,0.13049468623060756,0.002860783653609961,0.009297135924850413,0.8,0.9641819280902795,0.05599636032419905,0.0030824865177424402,0.010222303216378086,0.85,0.2904255042630152,0.8081362355968982,0.7496650219215876,0.13828454956739825,0.915725400632758,0.6131255339787489,0.5741610785344831,0.4763154568427257,0.3085720033503539,0.051775907935835835,0.19694001625305263,0.8990520754435154,0.2820287870272611,0.27952134928582856,0.6252514535681447,0.6430437087350923,0.39212297161735377,"[[0.8081362355968982, 0.7496650219215876], [0.13828454956739825, 0.915725400632758], [0.6131255339787489, 0.5741610785344831], [0.4763154568427257, 0.3085720033503539], [0.051775907935835835, 0.19694001625305263], [0.8990520754435154, 0.2820287870272611], [0.27952134928582856, 0.6252514535681447], [0.6430437087350923, 0.39212297161735377]]"
6,2891,True,,0.08428732208871186,0.9222647721027066,0.12124450611621096,0.21676449069533807,0.0333984806172757,0.003102191520495384,0.006674981443509268,0.8,0.0,0.11138174828634584,0.0027624868935640593,0.005098764761273794,0.75,0.7110899975585986,0.08098731116488007,0.0027977647007349175,0.005404574188034264,0.75,0.40606944793139077,0.5432622380178218,0.5371973123357652,0.6467792658513096,0.2001916979154007,0.6610048528171668,0.8259185887541224,0.7019638257459307,0.3081495351140075,0.8744126287986427,0.22529619025881795,0.32825181457259595,0.592387370667402,0.4292147931377261,0.8319979049458359,0.8573934026368893,0.4156753272707845,"[[0.5432622380178218, 0.5371973123357652], [0.6467792658513096, 0.2001916979154007], [0.6610048528171668, 0.8259185887541224], [0.7019638257459307, 0.3081495351140075], [0.8744126287986427, 0.22529619025881795], [0.32825181457259595, 0.592387370667402], [0.4292147931377261, 0.8319979049458359], [0.8573934026368893, 0.4156753272707845]]"
7,4172,True,,0.08449043533983219,0.9220920419520745,0.09999329088622125,0.2865968161372752,0.03350928992840239,0.0028359119254728676,0.00744376520646535,0.8,0.0,0.10632180429070973,0.0028342611223351817,0.005970486000418479,0.8,0.7325524098553335,0.09180884284950692,0.0063508696377144935,0.023226410889144657,0.7,0.36983028245792,0.9026856993556951,0.18654450032703226,0.41239533727610006,0.8713609592639263,0.5467895394289163,0.3734665224257184,0.5016365860679705,0.9164681398045448,0.8425832012386276,0.4400115247005735,0.5537243599780775,0.5422921426975769,0.13194445504024513,0.5004544612288693,0.6119350083983655,0.9332448863496872,"[[0.9026856993556951, 0.18654450032703226], [0.41239533727610006, 0.8713609592639263], [0.5467895394289163, 0.3734665224257184], [0.5016365860679705, 0.9164681398045448], [0.8425832012386276, 0.4400115247005735], [0.5537243599780775, 0.5422921426975769], [0.13194445504024513, 0.5004544612288693], [0.6119350083983655, 0.9332448863496872]]"
8,2540,True,,0.08513109317392034,0.9215476418384447,0.1331194319793115,0.4365647310269792,0.03279486486009277,0.0027609113304904852,0.005174849204573526,0.8,0.0,0.11463205812785354,0.002604947697122857,0.004259660648225209,0.7,0.6718193346968068,0.07846539157988153,0.0025366642066305903,0.004074504646647853,0.75,0.3860154129290341,0.23945856581683025,0.2601496685188726,0.9127868417058,0.2822636125362518,0.8242686205023834,0.9562849946124763,0.9343941994461222,0.6437756418626844,0.3925647375478057,0.9614253986267984,0.2808708640919715,0.8890012189426167,0.4546459098454303,0.560829848527109,0.7899221969513105,0.4485227790653434,"[[0.23945856581683025, 0.2601496685188726], [0.9127868417058, 0.2822636125362518], [0.8242686205023834, 0.9562849946124763], [0.9343941994461222, 0.6437756418626844], [0.3925647375478057, 0.9614253986267984], [0.2808708640919715, 0.8890012189426167], [0.4546459098454303, 0.560829848527109], [0.7899221969513105, 0.4485227790653434]]"
9,2954,True,,0.08608383048835416,0.9207392393921868,0.13001274250308642,0.32933117356895936,0.0325103552293128,0.0024411725956758586,0.004706091870862239,0.8,0.0,0.11986698184651282,0.0025501445130047735,0.005066489667559793,0.8,0.8719946991539272,0.0720910030310782,0.0027086745995246225,0.004773791099995166,0.9,0.5443996213129356,0.27145955785803116,0.6298853821859499,0.815049875290244,0.05997578162825022,0.6423068037635123,0.20257020076427637,0.8181579051264152,0.8677022699035325,0.6536371484189173,0.514022902349478,0.7363571450682326,0.3044410912081285,0.9290503150431432,0.9355711628960827,0.7067171732120383,0.9794102240831806,"[[0.27145955785803116, 0.6298853821859499], [0.815049875290244, 0.05997578162825022], [0.6423068037635123, 0.20257020076427637], [0.8181579051264152, 0.8677022699035325], [0.6536371484189173, 0.514022902349478], [0.7363571450682326, 0.3044410912081285], [0.9290503150431432, 0.9355711628960827], [0.7067171732120383, 0.9794102240831806]]"
10,1892,True,,0.08726567841896338,0.919738404190354,0.14645912411627118,0.3534709774943331,0.0405747504040921,0.002159843362060827,0.007009402970549092,0.75,0.0,0.10856640712062413,0.0021024731036666583,0.0061593188656423725,0.7,0.6077249856428142,0.09135514903051309,0.0021846699459140938,0.00659276614075808,0.7,0.43394217712624317,0.5283912685582366,0.0678077699793085,0.8331348435114105,0.7372605299366111,0.6982333349800935,0.3420324420412882,0.5541829113118938,0.368485239207514,0.3371146179246369,0.6220949099795381,0.8911918532919268,0.9571257183557255,0.9174094731002314,0.480897400177296,0.4602863342335115,0.9486109513315,"[[0.5283912685582366, 0.0678077699793085], [0.8331348435114105, 0.7372605299366111], [0.6982333349800935, 0.3420324420412882], [0.5541829113118938, 0.368485239207514], [0.3371146179246369, 0.6220949099795381], [0.8911918532919268, 0.9571257183557255], [0.9174094731002314, 0.480897400177296], [0.4602863342335115, 0.9486109513315]]"
