feature,top_mean,rest_mean,mean_diff_top_minus_rest,cohen_d
anisotropy,3.798059768451915,2.781252689459542,1.0168070789923727,0.42000321463962903
nearest_neighbor_std,0.07050166076654464,0.07909600908918817,-0.008594348322643525,-0.32519934769805114
convex_hull_area,0.2789945260326135,0.3029328568552189,-0.023938330822605436,-0.3244043658236373
min_pairwise_dist,0.13381128338486617,0.12381562269448347,0.009995660690382699,0.29026199688329185
std_radius,0.12807419920604457,0.12205575463772886,0.006018444568315712,0.25483738952139
mean_radius,0.3029891727753483,0.31195280210149984,-0.008963629326151523,-0.2507149090837677
convex_hull_perimeter,2.2208798711572406,2.2690991480400045,-0.04821927688276384,-0.1935645941936934
min_dist_to_boundary,0.06366287253397031,0.056981485050468086,0.006681387483502221,0.19244495802308834
fraction_near_boundary_0p1L,0.2125,0.240625,-0.02812500000000001,-0.1801501877607971
mean_pairwise_dist,0.45825669197786506,0.46701532795930334,-0.008758635981438279,-0.17443618625517845
fraction_near_boundary_0p15L,0.4,0.378125,0.021875000000000033,0.1403983605005549
mean_dist_to_boundary,0.20823813362015198,0.2102273693880846,-0.0019892357679326123,-0.0591047477351482
max_angular_gap,1.649918868019443,1.6414950092653846,0.008423858754058378,0.027658855253018255
nearest_neighbor_mean,0.21035873239978606,0.20969983801080017,0.0006588943889858923,0.020528443961525703
angular_gap_std,0.49668777402039616,0.4959505954589439,0.0007371785614522786,0.005804081562472832
