feature,top_mean,rest_mean,mean_diff_top_minus_rest,cohen_d
nearest_neighbor_std,0.07052272929606149,0.08991962573368202,-0.019396896437620534,-0.5735085516272336
anisotropy,3.816107889083116,2.778544942668917,1.0375629464141993,0.4700906548507969
mean_dist_to_boundary,0.19455839677021394,0.1795340004916972,0.015024396278516733,0.4049342756352916
convex_hull_perimeter,2.338159017665331,2.4538228627801084,-0.11566384511477734,-0.4041072984645752
convex_hull_area,0.31851926072196995,0.35727285897862376,-0.03875359825665381,-0.39678976765645935
std_radius,0.11715760316600002,0.1273536492052628,-0.010196046039262774,-0.3547398025379822
mean_pairwise_dist,0.4881359049942396,0.5097345112316871,-0.021598606237447526,-0.3399962674366855
min_pairwise_dist,0.13713680908157375,0.1260826981722315,0.011054110909342246,0.3103873179074278
mean_radius,0.32927312391642416,0.3433639805532991,-0.014090856636874927,-0.3016788554500236
fraction_near_boundary_0p15L,0.45,0.47132426988922455,-0.021324269889224534,-0.12785008182057536
min_dist_to_boundary,0.048764564975931804,0.04626387520669535,0.0025006897692364527,0.10150459750024476
fraction_near_boundary_0p1L,0.325,0.3112537764350453,0.013746223564954696,0.08913717730328373
max_angular_gap,1.6920592234656588,1.6717386206155072,0.020320602850151692,0.06849985917352756
nearest_neighbor_mean,0.21701677496527666,0.21857678538658706,-0.0015600104213104038,-0.04140851429016101
angular_gap_std,0.5202119990351268,0.5156674344257668,0.004544564609360036,0.035094785389488355
