feature,top_mean,rest_mean,mean_diff_top_minus_rest,cohen_d
anisotropy,4.123197551789194,2.777926433781291,1.3452711180079033,0.6095966629165745
convex_hull_perimeter,2.325080268353551,2.453849204671975,-0.12876893631842368,-0.44991162717310124
mean_pairwise_dist,0.48129610097776154,0.5097482872720023,-0.028452186294240733,-0.44792067661565205
convex_hull_area,0.31431420176940783,0.357281328382355,-0.04296712661294716,-0.43994711469261405
mean_radius,0.32350349921427435,0.34337560114685833,-0.019872101932583985,-0.42549112391095695
nearest_neighbor_mean,0.2044349019152542,0.21860212652062538,-0.014167224605371176,-0.37610388055516836
max_angular_gap,1.7818262058216328,1.6715578210538635,0.11026838476776923,0.3717596725173668
nearest_neighbor_std,0.08040652402403844,0.08989971879565992,-0.009493194771621472,-0.2806151216885212
angular_gap_std,0.5436252801593728,0.5156202777669064,0.028005002392466394,0.21627472504470147
mean_dist_to_boundary,0.18655157242261064,0.1795501270261335,0.007001445396477152,0.18867714022745105
fraction_near_boundary_0p1L,0.2875,0.31132930513595164,-0.02382930513595166,-0.1545232363049594
fraction_near_boundary_0p15L,0.45,0.47132426988922455,-0.021324269889224534,-0.12785008182057536
min_pairwise_dist,0.12219447909403387,0.12611279349949744,-0.003918314405463572,-0.1100126754756784
min_dist_to_boundary,0.04439308144466593,0.046272679805952684,-0.0018795983612867537,-0.076293756777131
std_radius,0.1273988702903089,0.12733302228255522,6.584800775369382e-05,0.002290688012588678
