feature,top_mean,rest_mean,mean_diff_top_minus_rest,cohen_d
max_angular_gap,1.9366263253611398,1.671246038335758,0.26538028702538186,0.8953002905837308
min_dist_to_boundary,0.06610598359267991,0.04622894787816212,0.019877035714517793,0.8073407546521417
angular_gap_std,0.6064316733792466,0.515493779492546,0.0909378938867006,0.7026024789057838
fraction_near_boundary_0p1L,0.2125,0.31148036253776434,-0.09898036253776435,-0.6420970028811248
fraction_near_boundary_0p15L,0.375,0.47147532729103725,-0.09647532729103725,-0.5786045153953815
mean_dist_to_boundary,0.1979274882680842,0.17952721480892206,0.018400273459162148,0.495960978217711
nearest_neighbor_mean,0.20064569260099133,0.21860975836214447,-0.017964065761153142,-0.4769415321120621
convex_hull_area,0.31892797457388006,0.35727203578858974,-0.03834406121470968,-0.39259530193193526
nearest_neighbor_std,0.07757493312373742,0.0899054218991852,-0.012330488775447776,-0.36450421079455153
convex_hull_perimeter,2.353523923110617,2.453791916344166,-0.10026799323354929,-0.35030288019180306
mean_pairwise_dist,0.4879266062284936,0.5097349327800572,-0.021808326551563617,-0.34329837435593225
mean_radius,0.32740262022152333,0.34336774793234215,-0.015965127710818816,-0.34181500614326876
anisotropy,3.4624890279614506,2.7792571659541565,0.6832318620072941,0.30951431472820756
std_radius,0.12966327755586887,0.12732846154284613,0.002334816013022739,0.08122296499076587
min_pairwise_dist,0.12587788316374204,0.12610537476018283,-0.00022749159644078198,-0.006387097533416114
