feature,top_mean,rest_mean,mean_diff_top_minus_rest,cohen_d
anisotropy,3.8687316110474397,2.763584728810661,1.1051468822367787,0.4577144876756639
fraction_near_boundary_0p1L,0.1875,0.246875,-0.05937500000000001,-0.3839232655552899
convex_hull_area,0.27597234493429007,0.30368840212979975,-0.02771605719550968,-0.37672559101538683
min_dist_to_boundary,0.06796789383426952,0.05590522972539328,0.012062664108876235,0.34989115079988825
convex_hull_perimeter,2.202557174734209,2.2736798221457626,-0.07112264741155361,-0.2865583624846388
nearest_neighbor_std,0.07277548337178527,0.07852755343787801,-0.00575207006609274,-0.2165998535028581
mean_dist_to_boundary,0.20441454601361606,0.21118326628971856,-0.006768720276102508,-0.2017363709165349
nearest_neighbor_mean,0.20507143448037826,0.21102166249065216,-0.005950228010273895,-0.185911334254738
mean_pairwise_dist,0.4580818859154478,0.46705902947490757,-0.008977143559459777,-0.17881086945652766
mean_radius,0.3051636557294068,0.31140918136298523,-0.0062455256335784415,-0.17421996533561274
max_angular_gap,1.6677722993243482,1.6370316514391583,0.03074064788518993,0.10101303614148915
angular_gap_std,0.5060979366048413,0.4935980548128326,0.012499881792008671,0.09849548371771644
min_pairwise_dist,0.1285201037743239,0.12513841759711902,0.0033816861772048845,0.09759519692072012
std_radius,0.12208661323452452,0.12355265113060887,-0.001466037896084349,-0.06176243164469045
fraction_near_boundary_0p15L,0.3875,0.38125,0.006250000000000033,0.040053440237591664
